Player,Team,Opponent,Matchup Difficulty,Injury Status,CMP,YDS,TDS,INTS,ATT,FL,FPTS
Hendon Hooker,DET,0.0,Neutral,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Spencer Rattler,NO,0.0,Neutral,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Skylar Thompson,PIT,0.0,Neutral,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brandon Allen,TEN,0.0,Neutral,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kyle Allen,DET,0.0,Neutral,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brett Rypien,MIN,0.0,Neutral,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Easton Stick,ATL,0.0,Neutral,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Case Keenum,CHI,0.0,Neutral,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zach Wilson,MIA,0.0,Neutral,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sam Ehlinger,DEN,0.0,Neutral,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shane Buechele,BUF,0.0,Neutral,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stetson Bennett,LAR,0.0,Neutral,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tanner McKee,PHI,0.0,Neutral,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tommy DeVito,NYG,0.0,Neutral,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J.J. McCarthy,MIN,0.0,Neutral,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Joe Milton III,DAL,0.0,Neutral,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mike White,BUF,0.0,Neutral,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Logan Woodside,CIN,0.0,Neutral,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tim Boyle,TEN,0.0,Neutral,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Will Grier,DAL,0.0,Neutral,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
John Wolford,JAC,0.0,Neutral,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bailey Zappe,KC,0.0,Neutral,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chris Oladokun,KC,0.0,Neutral,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sean Clifford,GB,0.0,Neutral,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Devin Leary,BAL,0.0,Neutral,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Michael Pratt,TB,0.0,Neutral,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
